gene	AC_afr	AC_sas	AC_amr	AC_eas	AC_nfe	AC_fin	AC_asj	AC_main	AN_afr	AN_sas	AN_amr	AN_eas	AN_nfe	AN_fin	AN_asj	AN_main	U	tercile	shet_cassa
NCAN	1	2	2	0	10	0	0	15	16104.5454545455	30412	34451.4545454545	18369.0909090909	112690.181818182	21475.0909090909	9950.72727272727	212027.272727273	2.95e-06	3	0.0320841103
NCAPD2	5	10	26	4	85	10	21	130	16244.0588235294	30607.1176470588	34565.8235294118	18390.2352941176	113589.294117647	21599.8235294118	10070	213396.529411765	4.03e-06	3	0.0055262028
NCAPD3	2	6	7	2	20	11	0	37	15894.4285714286	29706.8571428571	33456.3571428571	17942.2857142857	111102.357142857	21220.9285714286	9798.64285714286	208102.285714286	4.18e-06	3	0.0276622099
NCAPG	1	13	2	1	8	0	0	25	15788.5555555556	28412.7777777778	31450.7777777778	17639.3333333333	110493.111111111	21415.2222222222	9662	203784.555555556	2.31e-06	3	0.0255569876
NCAPG2	0	3	2	2	5	0	0	12	15107.4545454545	28931.2727272727	32340.3636363636	17324.1818181818	111062.363636364	21439.4545454545	9809.09090909091	204765.636363636	2.81e-06	3	0.0438288358
NCAPH	0	4	2	1	8	8	0	15	14078.4615384615	27581.8461538462	30145.0769230769	15855.0769230769	101462.923076923	20497.5384615385	9171.53846153846	189123.384615385	1.87e-06	3	0.016530078
NCAPH2	0	3	1	1	7	1	0	12	15728.6666666667	30141.8333333333	34241	18223.3333333333	111234	21144	9903.83333333333	209568.833333333	1.83e-06	3	0.0437918588
NCBP1	0	0	0	0	1	0	0	1	16234	30284	34180	18332	113310	21622	10046	212340	2.46e-06	3	0.2540782568
NCBP2	0	0	0	0	6	0	0	6	16174	29993	34145	18260	112865	21569	10008	211437	5.33e-07	1	0.0804841032
NCCRP1	16	3	12	1	10	0	0	42	14994.4615384615	28648.9230769231	32381.8461538462	17119.3846153846	105363.384615385	20068.9230769231	9393.69230769231	198508	7.68e-07	2	0.0042718976
NCDN	0	0	0	0	1	0	0	1	16212	30506	34388	18346	112426	21506	9972	211878	1.23e-06	2	0.2585352512
NCEH1	1	9	0	0	11	0	1	21	16020.3333333333	30588	34541	18356.3333333333	112789.333333333	21601	10025.6666666667	212295	6.94e-07	1	0.0062636417
NCF2	0	4	7	2	17	2	0	30	16252.1333333333	30615.0666666667	34588.8	18393.3333333333	113636.4	21639.2	10075.0666666667	213485.733333333	1.63e-06	3	0.0115202745
NCF4	3	21	1	4	81	1	7	110	16220.4615384615	30604.1538461538	34579.0769230769	18385.2307692308	113550	21393.6923076923	10061.5384615385	213338.923076923	8.28e-07	2	0.0011729683
NCK1	0	0	2	2	3	7	0	7	16049.4285714286	29503.7142857143	33299.7142857143	18088.2857142857	111992	21503.7142857143	9777.71428571429	208933.142857143	7.6e-07	2	0.0166846859
NCK2	0	0	1	1	1	0	0	3	16228	30574	34542	18374	112572	21541.3333333333	10032	212290	6.22e-07	1	0.0941900279
NCKAP1L	0	1	0	0	12	0	1	13	16249.2727272727	30604.5454545455	34570.5454545455	18391.8181818182	113635.454545455	21637.2727272727	10076.1818181818	213451.636363636	3.19e-06	3	0.051482664
NCKAP5	1	6	4	8	11	0	0	30	14920.2727272727	28604.6363636364	32734.2727272727	17339.0909090909	107509.363636364	20934.2727272727	9503.81818181818	201107.636363636	4.02e-06	3	0.0581200683
NCKAP5L	0	1	2	1	7	1	1	11	15047.5555555556	28620.8888888889	32237.1111111111	17491.3333333333	107471.777777778	20514.8888888889	9066.88888888889	200868.666666667	2.57e-06	3	0.0529344978
NCKIPSD	1	2	7	0	6	0	0	16	14937.8333333333	28103	31921	17141.6666666667	103154.5	17754.8333333333	9219.33333333333	195258	1.88e-06	3	0.0236549554
NCL	0	1	0	0	1	0	0	2	16090	30528	34509	18378	113471	21634	10060	212976	2.05e-06	3	0.2224015562
NCLN	1	0	1	0	2	1	0	4	14278.4	28559.2	32153.6	16681.2	99376.4	18684.4	9497.2	191048.8	1.66e-06	3	0.0591173172
NCMAP	0	0	0	0	4	0	0	4	16249	30613	34587	18385	113383	21646	10075	213217	2.16e-07	1	0.0186536787
NCOA1	2	3	0	1	5	0	0	11	16200.6	29959.2	33816.8	18284.6	112284.2	21475	9777	210545.4	3.41e-06	3	0.110981197
NCOA2	0	1	0	0	1	1	0	2	15456	30474.6666666667	34463.3333333333	17957.3333333333	112858.666666667	21526.6666666667	10053.3333333333	211210	3.1e-06	3	0.2859066847
NCOA3	1	2	3	1	8	3	1	15	16216	30329	34208.875	18345.875	112765.5	21593.625	9966.375	211865.25	3.89e-06	3	0.0824365223
NCOA4	0	6	5	2	5	3	0	18	15983.2857142857	29502.5714285714	33219.7142857143	17989	111671.571428571	21502.7142857143	9736.42857142857	208366.142857143	1.49e-06	3	0.1730047427
NCOA5	0	0	0	0	1	0	0	1	16254	30610	34588	18394	113546	21630	10072	213392	1.99e-06	3	0.0903906303
NCOA6	1	3	1	2	9	0	1	16	14998.1666666667	28022.3333333333	31582.3333333333	16902.1666666667	104787.666666667	19932.8333333333	9279.33333333333	196292.666666667	3.88e-06	3	0.0692791003
NCOA7	1	1	1	1	21	1	0	25	15999.1764705882	29678.1176470588	33658.4705882353	18068.5882352941	111899.764705882	21451.7647058824	9919.76470588235	209304.117647059	2.71e-06	3	0.0308929852
NCOR1	2	62	6	17	10	1	0	97	15541.0769230769	28618.9230769231	32400.9230769231	17607.3846153846	107475.692307692	20670.4615384615	9452.46153846154	201644	7.14e-06	3	0.0159373644
NCOR2	2	1	2	2	6	0	1	13	13530.3636363636	28521.6363636364	31942.3636363636	16200.9090909091	99202.7272727273	19188.5454545455	9509.63636363636	189398	5.9e-06	3	0.0822105415
NCR1	2	3	1	4	11	0	0	21	16224.8571428571	30601.8571428571	34555.7142857143	18377.8571428571	113517.714285714	21216.2857142857	10059.8571428571	213278	1.14e-06	2	0.0097110846
NCR2	0	15	12	2	11	0	0	40	16251	30595	34569.8	18391	113557.2	21462.2	10053.2	213364	7.61e-07	2	0.0052997193
NCR3	0	3	2	5	10	0	0	20	15148	30185	34125.6666666667	18230.6666666667	109199	21532	9789	206888.333333333	4.83e-07	1	0.0052084038
NCS1	0	0	0	0	2	0	0	2	16250	30613	34589	18390	113676	21644	10077	213518	5.92e-07	1	0.2768910598
NCSTN	0	1	0	0	3	0	0	4	16137.5	30456	34428	18292	112986	21566	10046.5	212299.5	2.09e-06	3	0.4160943512
NDC1	0	2	0	0	4	2	0	6	15930	28598	31901	17803	111288	21368.5	9621	205520	1.89e-06	3	0.0495380554
NDC80	5	4	4	0	8	1	2	21	15789.7777777778	29138.6666666667	32092.2222222222	17656.5555555556	111030.222222222	21472.1111111111	9722.44444444445	205707.444444444	1.97e-06	3	0.0195996608
NDE1	0	2	3	2	3	0	0	10	16203.4285714286	30576	34563.7142857143	18371.1428571429	113432.857142857	21578.8571428571	10062.8571428571	213147.142857143	1.07e-06	2	0.0255601283
NDEL1	0	0	0	0	1	1	0	1	16057	30090	33687	18167	112922	21615	10044	210923	1.14e-06	2	0.1288720039
NDFIP2	0	0	0	0	1	1	0	1	15722.6666666667	26696.6666666667	28690	16997.3333333333	107424.666666667	21024.6666666667	8793.33333333333	195531.333333333	7.34e-07	2	0.1047340077
NDNF	1	0	0	0	5	0	0	6	15619	30493	34388	18048	112648	21184	10025	211196	7.69e-07	2	0.0268899523
NDOR1	2	8	5	18	26	51	0	59	15216	29525.0434782609	33127.3043478261	17521.7391304348	106147.391304348	20094.0869565217	9730	201537.47826087	1.63e-06	3	0.0042320502
NDRG1	0	1	0	2	9	14	1	12	15831.5	30170.75	34129	18143.25	111594.75	21144.25	9968.25	209869.25	1.38e-06	2	0.0096383739
NDRG2	1	1	1	0	10	3	0	13	16212.5	30472.1666666667	34431.8333333333	18349.3333333333	113417.166666667	21602	10046.3333333333	212883	1.22e-06	2	0.0292029859
NDRG3	1	3	0	0	5	1	0	9	16232	30571.6666666667	34525.6666666667	18384.3333333333	113603	21600.6666666667	10073.6666666667	213316.666666667	1.32e-06	2	0.044786441
NDRG4	0	0	4	1	11	1	0	16	16136.25	30511.75	34482.5	18346.75	113012	21211.25	10034	212489.25	1.28e-06	2	0.0198974302
NDST1	0	1	2	0	3	0	0	6	16176.6666666667	29324	34296.6666666667	18337.3333333333	110667.333333333	21134.6666666667	9534.66666666667	208802	2.28e-06	3	0.1023988666
NDST2	0	0	1	0	0	0	0	1	16242	30616	34588	18394	113752	21648	10080	213592	2.08e-06	3	0.0239543812
NDST3	2	0	1	1	16	0	0	20	16111.5	29676.125	33459.75	18135.75	112414.375	21529.875	9880.875	209797.5	2.22e-06	3	0.0252404403
NDST4	1	9	3	1	11	2	1	25	16094.3	30031.1	33892.7	18172.5	112476.5	21570.3	9942.1	210667.1	2.62e-06	3	0.0251343563
NDUFA10	2	6	2	1	11	1	0	22	15186	29699.8571428571	33374.4285714286	17472.1428571429	108042.142857143	20593.7142857143	9844.71428571429	203774.571428571	1.02e-06	2	0.0125120625
NDUFA12	2	1	6	0	5	7	0	14	16244.5714285714	30606.8571428571	34569.7142857143	18390.5714285714	113704.857142857	21645.7142857143	10078	213516.571428571	5.17e-07	1	0.005441542
NDUFA3	1	0	5	1	0	0	0	7	15775	29043	33253	18169	107687	20279	9166	203927	2.12e-07	1	0.0028321339
NDUFA4	0	2	0	0	2	0	0	4	16193.3333333333	30600.6666666667	34569.3333333333	18386	113411.333333333	21245.3333333333	10076.6666666667	213160.666666667	3.51e-07	1	0.0287355491
NDUFA4L2	0	5	1	0	1	0	0	7	16220	29974	34218	18356	111957	21378	9621	210725	3.06e-07	1	0.0052226818
NDUFA5	0	1	2	2	5	0	14	10	16183.6	30311.6	34202.4	18298.8	112773.6	21464.8	9991.2	211770	3.55e-07	1	0.0050494934
NDUFA6	0	2	3	0	4	1	0	9	16241.3333333333	30615	34589.6666666667	18385.3333333333	113257.666666667	21638.3333333333	10074.3333333333	213089	3.26e-07	1	0.0093281101
NDUFA8	0	0	0	0	4	0	0	4	16256	30616	34590	18394	113101	21648	10076	212957	4.32e-07	1	0.0346001258
NDUFA9	1	0	0	1	11	0	0	13	15856	30147.6	34248.4	18202.8	111875.2	21165.6	9996.4	210330	1.38e-06	2	0.0235839147
NDUFAB1	0	0	0	0	1	0	0	1	16256	30614	34592	18394	113754	21648	10080	213610	2.88e-07	1	0.1897325995
NDUFAF1	2	0	2	1	5	0	0	10	16244.6666666667	30612.3333333333	34586.3333333333	18393	113720	21647	10078.3333333333	213556.333333333	6.38e-07	1	0.01090513
NDUFAF2	2	2	2	6	21	0	0	33	15737.7777777778	29954	34067.1111111111	18073.7777777778	111210	21429.7777777778	9953.55555555555	209042.666666667	6e-07	1	0.003458836
NDUFAF3	0	4	0	0	2	0	0	6	16209.6	30609.2	34573.6	18382.4	113422.8	21617.2	10068.4	213197.6	8.71e-07	2	0.0133742152
NDUFAF4	0	0	0	0	1	0	0	1	16244	30606	34578	18388	113638	21484	10074	213454	6.7e-07	1	0.1098588211
NDUFAF5	2	6	13	1	34	1	0	56	16102.2352941176	30589.1764705882	34532.2352941177	18359.5294117647	113237.764705882	21520.4705882353	10052.2352941176	212820.941176471	1.01e-06	2	0.0046754411
NDUFAF6	2	29	0	2	28	2	1	61	14441.5384615385	28067.8461538462	31545.3846153846	16598.1538461538	104558.923076923	19753.3846153846	9269.23076923077	195211.846153846	9.74e-07	2	0.0032197527
NDUFAF7	2	10	8	8	27	5	0	55	16145.7777777778	30547.1111111111	34492.2222222222	18357.1851851852	113146.814814815	21491.9259259259	10055.7777777778	212689.111111111	1.22e-06	2	0.0034114012
NDUFB1	0	0	1	0	3	0	0	4	15938	30244.8	34282	18226	112204.8	21565.6	9976.8	210895.6	2.29e-07	1	0.0423976534
NDUFB10	0	1	0	0	3	1	0	4	15869.6	30410	34208	18134.4	110897.6	21425.6	9962	209519.6	5.03e-07	1	0.0203581132
